campaign,age,age_youngest_child,branch,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,marital,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,product_code
3.000,50.0,23.0,Foxton,50.0,F,0.000,0.000,0.000,40.0,14972.0,U,1.0,-5.0,0.0,4.0,0.0,0.0,0.0,20.0,38.0,0.0,2.0
2.000,25.0,0.0,Ravensville,25.0,F,0.000,0.000,0.000,60.0,15533.0,S,3.0,-3.0,0.0,2.0,2.0,1.0,0.0,9.0,29.0,0.0,1.0
3.000,38.0,9.0,Queensbury,38.0,M,0.000,0.000,0.000,60.0,15535.0,U,7.0,19.0,24.0,1.0,1.0,0.0,0.0,15.0,24.0,0.0,2.0
2.000,38.0,9.0,Queensbury,38.0,M,0.000,0.000,0.000,60.0,15535.0,U,7.0,19.0,24.0,1.0,1.0,0.0,0.0,15.0,24.0,0.0,2.0
2.000,37.0,7.0,Princeton,37.0,M,0.000,0.000,0.000,58.0,15562.0,M,7.0,11.0,24.0,1.0,0.0,0.0,0.0,10.0,31.0,0.0,2.0
3.000,42.0,14.0,Ravensville,42.0,F,0.000,0.000,0.000,58.0,15562.0,U,7.0,-2.0,0.0,1.0,2.0,0.0,0.0,10.0,31.0,0.0,2.0
3.000,34.0,5.0,Kingsville,34.0,M,0.000,0.000,0.000,58.0,15562.0,S,7.0,27.0,36.0,1.0,0.0,0.0,0.0,10.0,31.0,0.0,2.0
2.000,23.0,0.0,Ravensville,23.0,M,0.000,0.000,0.000,58.0,15562.0,S,7.0,7.0,12.0,1.0,0.0,0.0,0.0,10.0,31.0,0.0,2.0
2.000,54.0,29.0,Ravensville,54.0,M,0.000,0.000,0.000,42.0,15576.0,S,1.0,39.0,48.0,4.0,0.0,2.0,1.0,17.0,40.0,7.702,2.0
3.000,54.0,29.0,Ravensville,54.0,M,0.000,0.000,0.000,42.0,15576.0,S,1.0,39.0,48.0,4.0,0.0,2.0,1.0,17.0,40.0,7.702,2.0
2.000,35.0,6.0,Foxton,35.0,F,0.000,0.000,0.000,42.0,15576.0,S,2.0,-3.0,0.0,4.0,1.0,1.0,0.0,17.0,40.0,0.0,2.0
3.000,35.0,6.0,Foxton,35.0,F,0.000,0.000,0.000,42.0,15576.0,S,2.0,-3.0,0.0,4.0,1.0,1.0,0.0,17.0,40.0,0.0,2.0
3.000,77.0,48.0,Princeton,77.0,M,0.000,0.000,0.000,60.0,16292.0,M,2.0,36.0,48.0,1.0,2.0,4.0,3.0,16.0,23.0,9.792,2.0
2.000,77.0,48.0,Princeton,77.0,M,0.000,0.000,0.000,60.0,16292.0,M,2.0,36.0,48.0,1.0,2.0,4.0,3.0,16.0,23.0,9.792,2.0
2.000,57.0,28.0,Foxton,57.0,F,0.000,0.000,0.000,60.0,16292.0,S,2.0,15.0,24.0,1.0,7.0,1.0,1.0,16.0,23.0,10.299,2.0
2.000,24.0,0.0,Queensbury,24.0,F,0.000,0.000,0.000,60.0,16287.0,S,3.0,17.0,24.0,1.0,1.0,0.0,0.0,7.0,32.0,0.0,2.0
2.000,40.0,10.0,Princeton,40.0,F,0.000,0.000,0.000,60.0,16287.0,U,3.0,41.0,48.0,1.0,0.0,1.0,1.0,7.0,32.0,11.563,2.0
2.000,52.0,24.0,Kingsville,52.0,F,0.000,0.000,0.000,60.0,16287.0,U,2.0,12.0,24.0,1.0,2.0,0.0,0.0,7.0,32.0,0.0,2.0
2.000,46.0,17.0,Princeton,46.0,F,0.000,0.000,0.000,41.0,16347.0,S,7.0,30.0,36.0,4.0,1.0,0.0,0.0,11.0,46.0,0.0,2.0
3.000,46.0,17.0,Princeton,46.0,F,0.000,0.000,0.000,41.0,16347.0,S,7.0,30.0,36.0,4.0,1.0,0.0,0.0,11.0,46.0,0.0,2.0
2.000,42.0,13.0,Ravensville,42.0,F,0.000,0.000,0.000,57.0,16959.0,U,2.0,40.0,48.0,2.0,2.0,3.0,2.0,9.0,33.0,9.571,0.0
2.000,45.0,17.0,Catburg,45.0,F,0.000,0.000,0.000,68.0,17173.0,M,5.0,-1.0,0.0,0.0,2.0,1.0,0.0,6.0,24.0,0.0,2.0
2.000,29.0,2.0,Catburg,29.0,M,0.000,0.000,0.000,66.0,17202.0,U,6.0,26.0,36.0,0.0,1.0,0.0,0.0,7.0,26.0,0.0,1.0
2.000,34.0,8.0,Queensbury,34.0,F,0.000,0.000,0.000,66.0,17202.0,M,6.0,-7.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,2.0
3.000,67.0,36.0,Queensbury,67.0,M,0.000,0.000,0.000,52.0,17416.0,S,2.0,37.0,48.0,3.0,0.0,4.0,2.0,13.0,34.0,8.957,2.0
2.000,29.0,0.0,Queensbury,29.0,F,0.000,0.000,0.000,52.0,17570.0,S,5.0,22.0,24.0,3.0,0.0,0.0,0.0,12.0,35.0,0.0,2.0
3.000,41.0,13.0,Ravensville,41.0,M,0.000,0.000,0.000,61.0,17790.0,M,7.0,27.0,36.0,1.0,1.0,3.0,2.0,6.0,31.0,13.441,2.0
2.000,41.0,13.0,Ravensville,41.0,M,0.000,0.000,0.000,61.0,17790.0,M,7.0,27.0,36.0,1.0,1.0,3.0,2.0,6.0,31.0,13.441,2.0
2.000,38.0,11.0,Princeton,38.0,M,0.000,0.000,0.000,61.0,17790.0,S,7.0,6.0,12.0,1.0,0.0,0.0,0.0,6.0,31.0,0.0,2.0
2.000,32.0,7.0,Princeton,32.0,F,0.000,0.000,0.000,61.0,17790.0,S,7.0,-3.0,0.0,1.0,0.0,1.0,0.0,6.0,31.0,0.0,2.0
2.000,28.0,0.0,Queensbury,28.0,M,0.000,0.000,0.000,61.0,17790.0,S,7.0,13.0,24.0,1.0,1.0,0.0,0.0,6.0,31.0,0.0,2.0
2.000,55.0,26.0,Foxton,55.0,F,0.000,0.000,0.000,61.0,17790.0,S,6.0,7.0,12.0,1.0,1.0,0.0,0.0,6.0,31.0,0.0,2.0
2.000,34.0,4.0,Foxton,34.0,F,0.000,0.000,0.000,61.0,17790.0,S,7.0,18.0,24.0,1.0,1.0,0.0,0.0,6.0,31.0,0.0,0.0
2.000,47.0,15.0,Ravensville,47.0,F,0.000,0.000,0.000,61.0,17790.0,S,7.0,13.0,24.0,1.0,0.0,0.0,0.0,6.0,31.0,0.0,0.0
3.000,50.0,24.0,Foxton,50.0,M,0.000,0.000,0.000,61.0,17790.0,S,6.0,27.0,36.0,1.0,0.0,1.0,1.0,6.0,31.0,9.199,2.0
2.000,50.0,24.0,Foxton,50.0,M,0.000,0.000,0.000,61.0,17790.0,S,6.0,27.0,36.0,1.0,0.0,1.0,1.0,6.0,31.0,9.199,2.0
2.000,34.0,5.0,Foxton,34.0,M,0.000,0.000,0.000,54.0,17751.0,U,2.0,6.0,12.0,2.0,0.0,3.0,1.0,6.0,39.0,7.589,2.0
2.000,45.0,18.0,Princeton,45.0,F,0.000,0.000,0.000,51.0,17774.0,U,4.0,5.0,12.0,3.0,0.0,4.0,2.0,5.0,43.0,8.555,2.0
2.000,50.0,19.0,Ravensville,50.0,F,0.000,0.000,0.000,51.0,17774.0,M,3.0,5.0,12.0,3.0,1.0,3.0,2.0,5.0,43.0,8.461,2.0
3.000,50.0,19.0,Ravensville,50.0,F,0.000,0.000,0.000,51.0,17774.0,M,3.0,5.0,12.0,3.0,1.0,3.0,2.0,5.0,43.0,8.461,2.0
2.000,37.0,13.0,Catburg,37.0,M,0.000,0.000,0.000,51.0,17774.0,U,4.0,10.0,12.0,3.0,1.0,4.0,1.0,5.0,43.0,8.982,2.0
2.000,27.0,0.0,Ravensville,27.0,M,0.000,0.000,0.000,58.0,51881.0,S,3.0,19.0,24.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0,2.0
2.000,55.0,24.0,Kingsville,55.0,F,0.000,0.000,0.000,60.0,51893.0,S,1.0,-2.0,0.0,1.0,3.0,2.0,0.0,5.0,33.0,0.0,2.0
2.000,43.0,13.0,Kingsville,43.0,M,0.000,0.000,0.000,59.0,51862.0,S,7.0,17.0,24.0,2.0,1.0,3.0,2.0,8.0,32.0,11.251,2.0
2.000,43.0,12.0,Kingsville,43.0,M,0.000,0.000,0.000,50.0,51929.0,M,6.0,8.0,12.0,3.0,2.0,1.0,1.0,15.0,34.0,11.816,2.0
3.000,43.0,13.0,Ravensville,43.0,F,0.000,0.000,0.000,52.0,51915.0,S,5.0,22.0,24.0,3.0,1.0,2.0,1.0,12.0,34.0,9.312,2.0
4.000,43.0,13.0,Ravensville,43.0,F,0.000,0.000,0.000,52.0,51915.0,S,5.0,22.0,24.0,3.0,1.0,2.0,1.0,12.0,34.0,9.312,2.0
2.000,41.0,10.0,Queensbury,41.0,M,0.000,0.000,0.000,57.0,51884.0,M,5.0,28.0,36.0,2.0,2.0,2.0,2.0,13.0,29.0,8.768,2.0
2.000,44.0,14.0,Catburg,44.0,M,0.000,0.000,0.000,39.0,51925.0,S,6.0,-6.0,0.0,5.0,0.0,0.0,0.0,20.0,39.0,0.0,2.0
3.000,44.0,14.0,Catburg,44.0,M,0.000,0.000,0.000,39.0,51925.0,S,6.0,-6.0,0.0,5.0,0.0,0.0,0.0,20.0,39.0,0.0,2.0
2.000,47.0,17.0,Princeton,47.0,F,0.000,0.000,0.000,47.0,51932.0,S,2.0,22.0,24.0,4.0,1.0,0.0,0.0,13.0,39.0,0.0,2.0
2.000,44.0,15.0,Catburg,44.0,F,0.000,0.000,0.000,41.0,51907.0,M,6.0,10.0,12.0,5.0,1.0,0.0,0.0,14.0,44.0,0.0,2.0
2.000,60.0,28.0,Princeton,60.0,M,0.000,0.000,0.000,52.0,51854.0,U,4.0,20.0,24.0,2.0,0.0,1.0,6.0,16.0,31.0,12.795,2.0
3.000,60.0,28.0,Princeton,60.0,M,0.000,0.000,0.000,52.0,51854.0,U,4.0,20.0,24.0,2.0,0.0,1.0,6.0,16.0,31.0,12.795,2.0
1.000,40.0,12.0,Foxton,40.0,M,0.000,0.000,0.000,61.0,51895.0,M,6.0,40.0,48.0,1.0,0.0,4.0,3.0,13.0,25.0,9.559,2.0
3.000,33.0,0.0,Kingsville,33.0,F,0.000,0.000,0.000,50.0,51883.0,S,4.0,23.0,36.0,3.0,0.0,0.0,0.0,11.0,38.0,0.0,0.0
2.000,33.0,0.0,Kingsville,33.0,F,0.000,0.000,0.000,50.0,51883.0,S,4.0,23.0,36.0,3.0,0.0,0.0,0.0,11.0,38.0,0.0,0.0
4.000,36.0,7.0,Princeton,36.0,F,0.000,0.000,0.000,70.0,51925.0,M,4.0,29.0,36.0,0.0,1.0,5.0,28.0,12.0,17.0,34.348,2.0
2.000,53.0,25.0,Queensbury,53.0,M,0.000,0.000,0.000,55.0,51929.0,S,2.0,30.0,36.0,2.0,0.0,0.0,0.0,9.0,35.0,0.0,2.0
2.000,38.0,6.0,Kingsville,38.0,M,0.000,0.000,0.000,59.0,51868.0,U,2.0,31.0,36.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0,2.0
3.000,38.0,6.0,Kingsville,38.0,M,0.000,0.000,0.000,59.0,51868.0,U,2.0,31.0,36.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0,2.0
3.000,47.0,14.0,Kingsville,47.0,M,0.000,0.000,0.000,44.0,51852.0,S,5.0,25.0,36.0,4.0,0.0,2.0,1.0,11.0,44.0,7.856,2.0
2.000,50.0,23.0,Kingsville,50.0,F,0.000,0.000,0.000,53.0,51915.0,U,6.0,20.0,24.0,2.0,0.0,0.0,0.0,15.0,31.0,0.0,2.0
1.000,34.0,2.0,Princeton,34.0,F,0.000,0.000,0.000,50.0,51930.0,U,7.0,39.0,48.0,3.0,0.0,3.0,2.0,11.0,37.0,8.525,2.0
1.000,37.0,4.0,Queensbury,37.0,F,0.000,0.000,0.000,56.0,51909.0,U,4.0,12.0,24.0,2.0,0.0,3.0,2.0,6.0,36.0,9.686,2.0
2.000,34.0,3.0,Kingsville,34.0,F,0.000,0.000,0.000,51.0,51946.0,M,2.0,40.0,48.0,3.0,0.0,0.0,0.0,8.0,40.0,0.0,2.0
2.000,52.0,23.0,Princeton,52.0,F,0.000,0.000,0.000,62.0,51890.0,S,2.0,26.0,36.0,1.0,0.0,0.0,0.0,11.0,26.0,0.0,2.0
3.000,51.0,15.0,Foxton,51.0,F,0.000,0.000,0.000,74.0,51926.0,U,6.0,40.0,48.0,0.0,0.0,2.0,1.0,8.0,16.0,7.906,2.0
2.000,42.0,10.0,Catburg,42.0,F,0.000,0.000,0.000,59.0,51934.0,U,3.0,33.0,36.0,1.0,2.0,0.0,0.0,8.0,31.0,0.0,2.0
2.000,59.0,31.0,Kingsville,59.0,M,0.000,0.000,0.000,64.0,51914.0,M,4.0,31.0,36.0,1.0,4.0,3.0,3.0,7.0,28.0,12.189,2.0
2.000,20.0,0.0,Foxton,20.0,M,0.000,0.000,0.000,51.0,51929.0,S,4.0,34.0,36.0,3.0,0.0,0.0,0.0,14.0,34.0,0.0,2.0
3.000,44.0,16.0,Kingsville,44.0,M,0.000,0.000,0.000,53.0,51863.0,M,3.0,27.0,36.0,2.0,3.0,2.0,1.0,11.0,34.0,7.422,2.0
2.000,44.0,16.0,Kingsville,44.0,M,0.000,0.000,0.000,53.0,51863.0,M,3.0,27.0,36.0,2.0,3.0,2.0,1.0,11.0,34.0,7.422,2.0
4.000,34.0,5.0,Princeton,34.0,M,0.000,0.000,0.000,48.0,51863.0,S,4.0,40.0,48.0,3.0,1.0,4.0,3.0,3.0,48.0,11.249,2.0
3.000,34.0,5.0,Princeton,34.0,M,0.000,0.000,0.000,48.0,51863.0,S,4.0,40.0,48.0,3.0,1.0,4.0,3.0,3.0,48.0,11.249,2.0
4.000,38.0,8.0,Foxton,38.0,M,0.000,0.000,0.000,58.0,51890.0,U,7.0,22.0,24.0,1.0,2.0,4.0,2.0,16.0,25.0,8.552,2.0
2.000,45.0,17.0,Ravensville,45.0,F,0.000,0.000,0.000,68.0,51936.0,M,7.0,-2.0,0.0,0.0,2.0,2.0,0.0,14.0,16.0,0.0,2.0
2.000,32.0,4.0,Ravensville,32.0,M,0.000,0.000,0.000,67.0,51894.0,S,3.0,35.0,36.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,2.0
2.000,30.0,0.0,Ravensville,30.0,F,0.000,0.000,0.000,52.0,51934.0,S,7.0,37.0,48.0,3.0,1.0,4.0,1.0,11.0,35.0,13.219,2.0
3.000,30.0,0.0,Ravensville,30.0,F,0.000,0.000,0.000,52.0,51934.0,S,7.0,37.0,48.0,3.0,1.0,4.0,1.0,11.0,35.0,13.219,2.0
3.000,42.0,13.0,Ravensville,42.0,F,0.000,0.000,0.000,20.0,51912.0,S,7.0,36.0,48.0,8.0,0.0,3.0,2.0,13.0,65.0,11.967,2.0
3.000,49.0,22.0,Foxton,49.0,F,0.000,0.000,0.000,53.0,51886.0,M,4.0,33.0,36.0,3.0,0.0,3.0,1.0,10.0,35.0,11.84,2.0
2.000,49.0,22.0,Foxton,49.0,F,0.000,0.000,0.000,53.0,51886.0,M,4.0,33.0,36.0,3.0,0.0,3.0,1.0,10.0,35.0,11.84,2.0
2.000,48.0,18.0,Foxton,48.0,M,0.000,0.000,1.000,46.0,51864.0,M,4.0,24.0,36.0,4.0,1.0,4.0,27.0,12.0,40.0,34.13,2.0
2.000,37.0,8.0,Princeton,37.0,M,0.000,0.000,0.000,50.0,51919.0,U,2.0,37.0,48.0,3.0,0.0,0.0,0.0,18.0,30.0,0.0,2.0
2.000,39.0,8.0,Queensbury,39.0,F,0.000,0.000,0.000,53.0,51949.0,U,3.0,17.0,24.0,2.0,0.0,0.0,0.0,4.0,41.0,0.0,0.0
2.000,52.0,25.0,Ravensville,52.0,M,0.000,0.000,0.000,62.0,51879.0,U,3.0,36.0,48.0,1.0,0.0,0.0,0.0,7.0,29.0,0.0,2.0
2.000,50.0,23.0,Princeton,50.0,F,0.000,0.000,0.000,21.0,51902.0,U,1.0,11.0,24.0,8.0,2.0,0.0,0.0,27.0,50.0,0.0,2.0
3.000,44.0,15.0,Ravensville,44.0,M,0.000,0.000,0.000,58.0,51889.0,M,2.0,22.0,24.0,2.0,0.0,6.0,3.0,9.0,32.0,12.049,2.0
1.000,44.0,15.0,Ravensville,44.0,M,0.000,0.000,0.000,58.0,51889.0,M,2.0,22.0,24.0,2.0,0.0,6.0,3.0,9.0,32.0,12.049,2.0
2.000,53.0,25.0,Queensbury,53.0,F,0.000,0.000,0.000,58.0,51889.0,M,1.0,33.0,36.0,2.0,2.0,0.0,0.0,9.0,32.0,0.0,2.0
3.000,53.0,25.0,Queensbury,53.0,F,0.000,0.000,0.000,58.0,51889.0,M,1.0,33.0,36.0,2.0,2.0,0.0,0.0,9.0,32.0,0.0,2.0
1.000,37.0,12.0,Princeton,37.0,F,0.000,0.000,0.000,58.0,51923.0,U,7.0,11.0,24.0,1.0,0.0,3.0,2.0,14.0,26.0,13.451,2.0
2.000,26.0,0.0,Princeton,26.0,M,0.000,0.000,0.000,42.0,51894.0,S,4.0,12.0,24.0,4.0,1.0,0.0,0.0,14.0,42.0,0.0,2.0
3.000,41.0,14.0,Kingsville,41.0,F,0.000,0.000,0.000,62.0,51929.0,M,4.0,-1.0,0.0,1.0,0.0,1.0,0.0,9.0,27.0,0.0,2.0
2.000,41.0,14.0,Kingsville,41.0,F,0.000,0.000,0.000,62.0,51929.0,M,4.0,-1.0,0.0,1.0,0.0,1.0,0.0,9.0,27.0,0.0,2.0
2.000,27.0,0.0,Catburg,27.0,M,0.000,0.000,0.000,62.0,51929.0,S,4.0,-6.0,0.0,1.0,0.0,0.0,0.0,9.0,27.0,0.0,2.0
2.000,45.0,16.0,Foxton,45.0,M,0.000,0.000,0.000,43.0,51888.0,S,6.0,7.0,12.0,4.0,0.0,3.0,2.0,9.0,46.0,8.415,2.0
2.000,30.0,0.0,Foxton,30.0,F,0.000,0.000,0.000,62.0,51886.0,S,3.0,-6.0,0.0,1.0,3.0,0.0,0.0,10.0,26.0,0.0,2.0
2.000,42.0,10.0,Queensbury,42.0,F,0.000,0.000,0.000,58.0,51921.0,M,6.0,40.0,48.0,2.0,2.0,0.0,0.0,8.0,33.0,0.0,2.0
2.000,46.0,20.0,Catburg,46.0,M,0.000,0.000,0.000,72.0,51891.0,S,6.0,17.0,24.0,0.0,0.0,2.0,1.0,11.0,15.0,8.766,1.0
2.000,31.0,0.0,Queensbury,31.0,M,0.000,0.000,0.000,56.0,51871.0,S,5.0,31.0,36.0,2.0,0.0,0.0,0.0,9.0,34.0,0.0,2.0
3.000,22.0,0.0,Ravensville,22.0,M,0.000,0.000,0.000,59.0,51946.0,S,2.0,14.0,24.0,1.0,0.0,5.0,2.0,10.0,29.0,10.701,2.0
3.000,53.0,24.0,Queensbury,53.0,M,0.000,0.000,1.000,59.0,51946.0,M,1.0,30.0,36.0,1.0,1.0,0.0,17.0,10.0,29.0,23.955,2.0
4.000,32.0,2.0,Queensbury,32.0,M,0.000,0.000,0.000,35.0,51862.0,M,5.0,41.0,48.0,5.0,1.0,3.0,2.0,14.0,49.0,10.122,2.0
2.000,32.0,2.0,Queensbury,32.0,M,0.000,0.000,0.000,35.0,51862.0,M,5.0,41.0,48.0,5.0,1.0,3.0,2.0,14.0,49.0,10.122,2.0
2.000,22.0,0.0,Queensbury,22.0,M,0.000,0.000,0.000,50.0,51893.0,S,3.0,28.0,36.0,3.0,1.0,1.0,1.0,9.0,40.0,11.636,2.0
4.000,42.0,15.0,Princeton,42.0,M,0.000,0.000,0.000,53.0,51941.0,S,4.0,29.0,36.0,2.0,3.0,4.0,1.0,11.0,34.0,8.166,2.0
2.000,48.0,19.0,Ravensville,48.0,F,0.000,0.000,0.000,43.0,51869.0,U,6.0,18.0,24.0,4.0,0.0,0.0,0.0,6.0,49.0,0.0,2.0
2.000,40.0,11.0,Ravensville,40.0,F,0.000,0.000,0.000,41.0,51851.0,S,4.0,5.0,12.0,5.0,1.0,0.0,0.0,11.0,46.0,0.0,2.0
3.000,40.0,11.0,Ravensville,40.0,F,0.000,0.000,0.000,41.0,51851.0,S,4.0,5.0,12.0,5.0,1.0,0.0,0.0,11.0,46.0,0.0,2.0
3.000,37.0,10.0,Ravensville,37.0,M,0.000,0.000,0.000,61.0,51912.0,U,4.0,41.0,48.0,1.0,5.0,2.0,2.0,11.0,27.0,8.356,2.0
2.000,46.0,15.0,Queensbury,46.0,F,0.000,0.000,0.000,53.0,51915.0,M,5.0,-6.0,0.0,3.0,1.0,0.0,0.0,10.0,35.0,0.0,2.0
2.000,22.0,0.0,Kingsville,22.0,F,0.000,0.000,0.000,71.0,51944.0,S,6.0,18.0,24.0,0.0,2.0,0.0,0.0,11.0,16.0,0.0,2.0
2.000,74.0,44.0,Catburg,74.0,M,0.000,0.000,0.000,60.0,51923.0,M,4.0,23.0,24.0,1.0,1.0,0.0,0.0,5.0,34.0,0.0,2.0
3.000,39.0,12.0,Foxton,39.0,M,0.000,0.000,0.000,45.0,51927.0,U,4.0,37.0,48.0,4.0,1.0,3.0,1.0,15.0,39.0,12.833,2.0
2.000,32.0,0.0,Foxton,32.0,F,0.000,0.000,0.000,47.0,51948.0,S,3.0,21.0,24.0,3.0,0.0,1.0,1.0,11.0,40.0,8.802,2.0
3.000,40.0,8.0,Kingsville,40.0,F,0.000,0.000,0.000,68.0,51896.0,U,2.0,36.0,48.0,0.0,0.0,0.0,0.0,10.0,21.0,0.0,2.0
3.000,41.0,12.0,Catburg,41.0,F,0.000,0.000,0.000,77.0,51921.0,M,4.0,6.0,12.0,1.0,1.0,4.0,2.0,4.0,18.0,10.185,2.0
2.000,41.0,12.0,Catburg,41.0,F,0.000,0.000,0.000,77.0,51921.0,M,4.0,6.0,12.0,1.0,1.0,4.0,2.0,4.0,18.0,10.185,2.0
2.000,41.0,14.0,Queensbury,41.0,F,0.000,0.000,0.000,77.0,51921.0,S,4.0,30.0,36.0,1.0,0.0,2.0,1.0,4.0,18.0,9.939,2.0
3.000,41.0,14.0,Queensbury,41.0,F,0.000,0.000,0.000,77.0,51921.0,S,4.0,30.0,36.0,1.0,0.0,2.0,1.0,4.0,18.0,9.939,2.0
2.000,44.0,16.0,Catburg,44.0,F,0.000,0.000,0.000,57.0,51879.0,M,6.0,39.0,48.0,2.0,3.0,0.0,0.0,4.0,37.0,0.0,2.0
2.000,37.0,10.0,Ravensville,37.0,M,0.000,0.000,0.000,59.0,51861.0,U,2.0,7.0,12.0,2.0,1.0,0.0,0.0,10.0,29.0,0.0,2.0
3.000,37.0,10.0,Ravensville,37.0,M,0.000,0.000,0.000,59.0,51861.0,U,2.0,7.0,12.0,2.0,1.0,0.0,0.0,10.0,29.0,0.0,2.0
2.000,52.0,18.0,Foxton,52.0,F,0.000,0.000,0.000,54.0,51866.0,M,3.0,19.0,24.0,2.0,0.0,6.0,3.0,9.0,36.0,12.04,2.0
2.000,44.0,18.0,Queensbury,44.0,M,0.000,0.000,0.000,63.0,51919.0,U,6.0,14.0,24.0,1.0,0.0,2.0,1.0,11.0,25.0,7.872,2.0
3.000,44.0,18.0,Queensbury,44.0,M,0.000,0.000,0.000,63.0,51919.0,U,6.0,14.0,24.0,1.0,0.0,2.0,1.0,11.0,25.0,7.872,2.0
2.000,42.0,12.0,Queensbury,42.0,F,0.000,0.000,0.000,61.0,51932.0,S,4.0,-2.0,0.0,1.0,1.0,0.0,0.0,10.0,27.0,0.0,1.0
2.000,21.0,0.0,Kingsville,21.0,F,0.000,0.000,0.000,61.0,51894.0,S,7.0,9.0,12.0,1.0,0.0,0.0,0.0,1.0,36.0,0.0,0.0
